Customer_ID,snapshot_date,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,loan_id,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance
CUS_0x1370,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1370_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,0.0,3000.0,9000.0
CUS_0x1382,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,298.0,157.0,230.0,187.0,39.0,8.0,105.0,295.0,51.0,71.0,92.0,-25.0,69.0,-57.0,102.0,195.0,159.0,220.0,172.0,-114.0,CUS_0x1382_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x139b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x139b_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,1000.0,0.0,6000.0
CUS_0x144d,2024-12-01,Dokoupill,23,269-66-4319,Mechanic,20938.03,1896.835833333333,6.0,9.0,23.0,5,"Payday Loan, Not Specified, Not Specified, Not Specified, and Student Loan",12.0,15,-2.16,11.0,Bad,1657.74,26.55798600695456,10 Years and 3 Months,Yes,56.26113896851847,62.558838199254424,Low_spent_Medium_value_payments,350.86360616556044,,,,,,,,,,,,,,,,,,,,,CUS_0x144d_2024_12_01,2024-12-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x145c,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,92.0,159.0,101.0,-6.0,130.0,152.0,23.0,91.0,131.0,114.0,130.0,269.0,-27.0,-89.0,30.0,-74.0,130.0,168.0,25.0,217.0,,,,,,,,,
CUS_0x147a,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x147a_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,1000.0,0.0,6000.0
CUS_0x14d5,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,103.0,61.0,196.0,-48.0,126.0,38.0,40.0,94.0,54.0,114.0,116.0,114.0,194.0,33.0,243.0,171.0,-41.0,-11.0,40.0,182.0,,,,,,,,,
CUS_0x14d8,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,317.0,97.0,340.0,136.0,204.0,101.0,153.0,150.0,-15.0,-90.0,72.0,137.0,65.0,82.0,196.0,204.0,126.0,158.0,218.0,124.0,,,,,,,,,
CUS_0x14d9,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x14d9_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x1535,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1535_2024_11_01,2024-11-01,10.0,1.0,10000.0,1000.0,1000.0,0.0,9000.0
CUS_0x155b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x155b_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x15a9,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x15a9_2024_11_01,2024-11-01,10.0,1.0,10000.0,1000.0,1000.0,0.0,9000.0
CUS_0x1616,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,137.0,193.0,62.0,96.0,100.0,-60.0,83.0,129.0,124.0,207.0,220.0,36.0,259.0,67.0,35.0,149.0,258.0,-14.0,196.0,-23.0,,,,,,,,,
CUS_0x1647,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-73.0,-61.0,46.0,-3.0,50.0,150.0,94.0,256.0,3.0,-55.0,213.0,-135.0,66.0,160.0,116.0,196.0,150.0,11.0,158.0,-7.0,,,,,,,,,
CUS_0x1661,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,267.0,154.0,164.0,37.0,265.0,-34.0,275.0,-73.0,39.0,-61.0,125.0,248.0,-34.0,325.0,221.0,159.0,-71.0,116.0,37.0,224.0,,,,,,,,,
CUS_0x1663,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1663_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x1664,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,262.0,26.0,-14.0,172.0,89.0,54.0,43.0,248.0,132.0,143.0,111.0,113.0,123.0,71.0,186.0,127.0,17.0,28.0,67.0,49.0,,,,,,,,,
CUS_0x1698,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,245.0,62.0,13.0,79.0,143.0,104.0,61.0,182.0,-18.0,254.0,-103.0,119.0,114.0,135.0,45.0,145.0,42.0,156.0,-50.0,84.0,,,,,,,,,
CUS_0x169d,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,63.0,200.0,107.0,178.0,89.0,114.0,231.0,78.0,184.0,154.0,101.0,-82.0,20.0,146.0,95.0,-37.0,300.0,189.0,32.0,45.0,,,,,,,,,
CUS_0x176b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x176b_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x1773,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,265.0,141.0,249.0,205.0,53.0,-1.0,64.0,86.0,107.0,93.0,113.0,132.0,7.0,50.0,96.0,108.0,-55.0,-55.0,-23.0,98.0,,,,,,,,,
CUS_0x17a9,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,231.0,136.0,67.0,85.0,103.0,183.0,188.0,137.0,180.0,112.0,79.0,-34.0,-21.0,116.0,119.0,-42.0,131.0,117.0,81.0,144.0,,,,,,,,,
CUS_0x17d3,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-37.0,106.0,142.0,62.0,58.0,3.0,68.0,235.0,-62.0,103.0,66.0,244.0,229.0,96.0,97.0,187.0,196.0,108.0,168.0,98.0,,,,,,,,,
CUS_0x17fc,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x17fc_2024_09_01,2024-09-01,10.0,3.0,10000.0,1000.0,1000.0,0.0,7000.0
CUS_0x183e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x183e_2024_07_01,2024-07-01,10.0,5.0,10000.0,1000.0,1000.0,0.0,5000.0
CUS_0x1890,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1890_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,0.0,3000.0,9000.0
CUS_0x1942,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,83.0,316.0,196.0,291.0,73.0,142.0,58.0,36.0,368.0,69.0,3.0,0.0,208.0,91.0,249.0,22.0,47.0,-11.0,154.0,183.0,,,,,,,,,
CUS_0x1993,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,272.0,66.0,51.0,75.0,171.0,101.0,105.0,216.0,-48.0,255.0,152.0,169.0,244.0,134.0,250.0,212.0,11.0,96.0,225.0,-69.0,,,,,,,,,
CUS_0x1a06,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1a06_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,1000.0,0.0,6000.0
CUS_0x1abb,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,253.0,207.0,134.0,-49.0,269.0,39.0,372.0,-68.0,171.0,205.0,146.0,40.0,-92.0,8.0,110.0,63.0,222.0,75.0,341.0,328.0,,,,,,,,,
CUS_0x1b56,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,186.0,194.0,119.0,-41.0,100.0,33.0,194.0,116.0,96.0,4.0,78.0,70.0,135.0,48.0,96.0,-114.0,66.0,94.0,311.0,3.0,,,,,,,,,
CUS_0x1b6d,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,182.0,219.0,98.0,132.0,70.0,178.0,1.0,181.0,10.0,114.0,74.0,85.0,51.0,56.0,18.0,161.0,22.0,186.0,62.0,-7.0,,,,,,,,,
CUS_0x1b97,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,133.0,229.0,234.0,120.0,131.0,4.0,-72.0,14.0,197.0,66.0,70.0,125.0,66.0,76.0,255.0,171.0,19.0,276.0,28.0,184.0,CUS_0x1b97_2024_03_01,2024-03-01,10.0,9.0,10000.0,1000.0,1000.0,0.0,1000.0
CUS_0x1be2,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,85.0,181.0,92.0,109.0,34.0,80.0,104.0,49.0,-45.0,25.0,127.0,81.0,40.0,256.0,106.0,-55.0,214.0,-1.0,2.0,173.0,,,,,,,,,
CUS_0x1bfd,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1bfd_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,0.0,3000.0,9000.0
CUS_0x1c65,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,104.0,117.0,165.0,169.0,234.0,87.0,141.0,111.0,16.0,129.0,52.0,205.0,-33.0,-16.0,52.0,61.0,231.0,201.0,56.0,14.0,,,,,,,,,
CUS_0x1cc4,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,103.0,90.0,91.0,74.0,9.0,49.0,-63.0,131.0,49.0,93.0,32.0,125.0,61.0,98.0,207.0,-40.0,165.0,-23.0,161.0,106.0,,,,,,,,,
CUS_0x1d70,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1d70_2024_09_01,2024-09-01,10.0,3.0,10000.0,1000.0,0.0,1000.0,8000.0
CUS_0x1dd4,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,125.0,7.0,215.0,87.0,99.0,172.0,-29.0,52.0,151.0,150.0,173.0,108.0,163.0,25.0,37.0,-15.0,183.0,380.0,201.0,128.0,CUS_0x1dd4_2024_04_01,2024-04-01,10.0,8.0,10000.0,1000.0,1000.0,0.0,2000.0
CUS_0x1dda,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-19.0,127.0,-163.0,48.0,45.0,-118.0,250.0,9.0,306.0,-150.0,-108.0,69.0,-27.0,110.0,-11.0,97.0,62.0,-7.0,3.0,,,,,,,,,
CUS_0x1de6,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,138.0,103.0,44.0,303.0,-63.0,60.0,150.0,-35.0,81.0,148.0,115.0,-48.0,120.0,311.0,153.0,199.0,73.0,28.0,108.0,208.0,,,,,,,,,
CUS_0x1eff,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,58.0,221.0,86.0,98.0,-8.0,26.0,2.0,143.0,193.0,27.0,24.0,316.0,276.0,82.0,257.0,206.0,-42.0,66.0,-17.0,210.0,,,,,,,,,
CUS_0x1f19,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1f19_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x1fa5,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,359.0,100.0,100.0,40.0,211.0,99.0,147.0,82.0,185.0,163.0,35.0,133.0,17.0,80.0,24.0,86.0,-42.0,158.0,148.0,88.0,CUS_0x1fa5_2024_02_01,2024-02-01,10.0,10.0,10000.0,1000.0,1000.0,0.0,0.0
CUS_0x1fcb,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1fcb_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x1ffb,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,186.0,114.0,279.0,194.0,75.0,288.0,80.0,293.0,43.0,120.0,-60.0,145.0,107.0,259.0,-78.0,-15.0,89.0,59.0,20.0,,,,,,,,,
CUS_0x200a,2024-12-01,Danielv,24,965-49-0710,Manager,81288.36,6765.03,10.0,6.0,17.0,6,"Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, Payday Loan, and Payday Loan",13.0,18,24.92,10.0,Bad,3238.58,23.076290250381398,4 Years and 11 Months,Yes,383.4599803750568,152.88680631914158,High_spent_Large_value_payments,380.1562133058016,,,,,,,,,,,,,,,,,,,,,CUS_0x200a_2024_12_01,2024-12-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x2038,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,159.0,252.0,25.0,-14.0,134.0,83.0,99.0,136.0,219.0,327.0,133.0,150.0,139.0,-176.0,112.0,224.0,17.0,-20.0,151.0,83.0,,,,,,,,,
CUS_0x2080,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,138.0,141.0,150.0,-29.0,61.0,95.0,135.0,279.0,95.0,-55.0,67.0,139.0,176.0,7.0,155.0,127.0,77.0,45.0,144.0,39.0,CUS_0x2080_2024_06_01,2024-06-01,10.0,6.0,10000.0,1000.0,1000.0,0.0,4000.0
CUS_0x20fe,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,222.0,134.0,232.0,-87.0,-112.0,219.0,116.0,6.0,179.0,102.0,158.0,159.0,7.0,47.0,142.0,122.0,293.0,168.0,270.0,149.0,,,,,,,,,
CUS_0x218e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-60.0,65.0,108.0,238.0,96.0,111.0,-46.0,179.0,161.0,111.0,20.0,135.0,121.0,115.0,99.0,118.0,254.0,151.0,23.0,55.0,CUS_0x218e_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,0.0,4000.0,7000.0
CUS_0x219c,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,6.0,253.0,152.0,85.0,165.0,206.0,136.0,32.0,69.0,61.0,54.0,119.0,58.0,54.0,119.0,280.0,85.0,104.0,76.0,73.0,,,,,,,,,
CUS_0x21c1,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-148.0,14.0,222.0,-60.0,-133.0,127.0,88.0,93.0,76.0,78.0,22.0,29.0,61.0,-111.0,-79.0,107.0,14.0,89.0,96.0,211.0,CUS_0x21c1_2024_04_01,2024-04-01,10.0,8.0,10000.0,1000.0,1000.0,0.0,2000.0
CUS_0x21f4,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,270.0,57.0,148.0,164.0,166.0,59.0,155.0,252.0,88.0,151.0,64.0,72.0,89.0,87.0,252.0,-132.0,177.0,118.0,-26.0,-24.0,CUS_0x21f4_2024_03_01,2024-03-01,10.0,9.0,10000.0,1000.0,0.0,5000.0,6000.0
CUS_0x21f9,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,118.0,148.0,93.0,200.0,100.0,105.0,63.0,94.0,355.0,-1.0,108.0,178.0,208.0,314.0,-15.0,272.0,10.0,322.0,226.0,138.0,,,,,,,,,
CUS_0x2224,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,202.0,203.0,207.0,199.0,92.0,235.0,216.0,-45.0,442.0,218.0,183.0,143.0,12.0,146.0,122.0,194.0,220.0,39.0,169.0,159.0,,,,,,,,,
CUS_0x2226,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,15.0,111.0,87.0,106.0,209.0,-39.0,56.0,220.0,169.0,68.0,18.0,111.0,104.0,-65.0,67.0,122.0,100.0,-53.0,204.0,213.0,CUS_0x2226_2024_02_01,2024-02-01,10.0,10.0,10000.0,1000.0,1000.0,0.0,0.0
CUS_0x225e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,199.0,202.0,-101.0,-62.0,193.0,125.0,166.0,270.0,194.0,246.0,55.0,154.0,-31.0,-41.0,304.0,251.0,137.0,162.0,0.0,-193.0,,,,,,,,,
CUS_0x22bc,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,14.0,124.0,107.0,191.0,21.0,65.0,226.0,-6.0,209.0,-33.0,153.0,67.0,-65.0,105.0,40.0,89.0,-38.0,62.0,-52.0,125.0,,,,,,,,,
CUS_0x234a,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,74.0,211.0,61.0,56.0,64.0,15.0,-38.0,65.0,235.0,52.0,-19.0,158.0,42.0,201.0,112.0,70.0,72.0,-68.0,305.0,145.0,CUS_0x234a_2024_04_01,2024-04-01,10.0,8.0,10000.0,1000.0,1000.0,0.0,2000.0
CUS_0x2358,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,127.0,161.0,-8.0,122.0,309.0,75.0,182.0,133.0,15.0,90.0,-18.0,265.0,64.0,-31.0,79.0,249.0,31.0,180.0,240.0,CUS_0x2358_2024_02_01,2024-02-01,10.0,10.0,10000.0,1000.0,1000.0,0.0,0.0
CUS_0x237d,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,105.0,2.0,144.0,148.0,105.0,95.0,-10.0,-39.0,172.0,96.0,107.0,170.0,21.0,-177.0,51.0,2.0,223.0,-34.0,-177.0,140.0,CUS_0x237d_2024_02_01,2024-02-01,10.0,10.0,10000.0,1000.0,1000.0,0.0,0.0
CUS_0x239e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-43.0,317.0,51.0,147.0,10.0,200.0,164.0,75.0,247.0,175.0,173.0,125.0,-10.0,173.0,121.0,-128.0,113.0,177.0,206.0,69.0,,,,,,,,,
CUS_0x23e5,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,96.0,12.0,41.0,62.0,0.0,-116.0,212.0,200.0,191.0,154.0,78.0,46.0,107.0,50.0,60.0,26.0,97.0,159.0,-154.0,287.0,CUS_0x23e5_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x242b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,279.0,-45.0,144.0,135.0,13.0,287.0,101.0,176.0,254.0,175.0,261.0,113.0,28.0,-49.0,57.0,23.0,186.0,70.0,139.0,159.0,,,,,,,,,
CUS_0x2451,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,162.0,118.0,148.0,210.0,-143.0,99.0,167.0,36.0,34.0,-49.0,37.0,191.0,131.0,216.0,60.0,209.0,108.0,77.0,139.0,-24.0,,,,,,,,,
CUS_0x247e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x247e_2024_08_01,2024-08-01,10.0,4.0,10000.0,1000.0,1000.0,0.0,6000.0
CUS_0x24d7,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,248.0,196.0,37.0,207.0,170.0,201.0,150.0,149.0,23.0,128.0,147.0,359.0,-34.0,138.0,52.0,30.0,80.0,132.0,,,,,,,,,
CUS_0x24e4,2024-12-01,Herbertj,37,#F%$D@*&8,Accountant,43108.4,3362.366666666667,3.0,6.0,8.0,0,,19.0,14,11.49,5.0,Good,905.03,34.54781048067844,28 Years and 8 Months,No,0.0,435.18091405857916,High_spent_Large_value_payments,510.2480972297206,,,,,,,,,,,,,,,,,,,,,CUS_0x24e4_2024_12_01,2024-12-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x25a5,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,181.0,44.0,194.0,215.0,29.0,44.0,139.0,83.0,331.0,45.0,-44.0,171.0,135.0,79.0,113.0,235.0,225.0,185.0,32.0,30.0,,,,,,,,,
CUS_0x25aa,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x25aa_2024_09_01,2024-09-01,10.0,3.0,10000.0,1000.0,1000.0,0.0,7000.0
CUS_0x25ca,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,315.0,-12.0,142.0,226.0,222.0,181.0,99.0,53.0,103.0,153.0,85.0,62.0,127.0,58.0,2.0,94.0,357.0,122.0,40.0,87.0,,,,,,,,,
CUS_0x261d,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,79.0,-2.0,123.0,153.0,-2.0,122.0,190.0,55.0,185.0,311.0,-11.0,119.0,-79.0,143.0,73.0,263.0,97.0,149.0,187.0,283.0,,,,,,,,,
CUS_0x2662,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,79.0,-62.0,-50.0,-35.0,93.0,107.0,149.0,147.0,193.0,120.0,73.0,-26.0,35.0,182.0,190.0,158.0,-119.0,40.0,140.0,121.0,,,,,,,,,
CUS_0x26aa,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,21.0,97.0,211.0,110.0,49.0,-62.0,146.0,83.0,191.0,3.0,110.0,0.0,57.0,27.0,87.0,27.0,153.0,63.0,231.0,43.0,,,,,,,,,
CUS_0x2703,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,14.0,191.0,175.0,274.0,-44.0,92.0,-16.0,-64.0,-9.0,-26.0,112.0,72.0,49.0,177.0,138.0,60.0,-2.0,97.0,102.0,63.0,CUS_0x2703_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,0.0,5000.0,8000.0
CUS_0x271e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,76.0,-39.0,110.0,70.0,54.0,31.0,26.0,-18.0,234.0,153.0,117.0,-18.0,167.0,58.0,162.0,122.0,158.0,217.0,117.0,141.0,,,,,,,,,
CUS_0x2767,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-56.0,227.0,47.0,87.0,117.0,31.0,31.0,149.0,249.0,231.0,-108.0,31.0,18.0,159.0,5.0,-90.0,110.0,251.0,26.0,26.0,,,,,,,,,
